"Rk","Gtm","Date","Var.4","Opp","Rslt","PA","AB","R","H","X2B","X3B","HR","RBI","BB","IBB","SO","HBP","SH","SF","ROE","GDP","SB","CS","BA","OBP","SLG","OPS","LOB","X.","Thr","Opp..Starter..GmeSc.","Team","Field"
73,73,"Jun 18","","KCR","L,3-7",39,35,3,12,2,0,0,3,3,0,6,0,0,1,0,2,3,1,0.242,0.316,0.384,0.701,9,"11","L","J.Vargas(45)","LAA","Home"
74,74,"Jun 20","@","NYY","W,8-3",42,40,8,14,4,1,2,8,1,0,10,0,1,0,1,1,0,0,0.244,0.317,0.389,0.706,7,"9","R","M.Pineda(53)","LAA","Away"
75,75,"Jun 21","@","NYY","L,4-8",36,32,4,7,2,0,2,4,3,0,10,0,1,0,0,0,1,1,0.243,0.317,0.39,0.706,5,"9","L","J.Montgomery(54)","LAA","Away"
76,76,"Jun 22","@","NYY","W,10-5",42,36,10,11,3,0,1,9,4,0,10,0,0,2,1,1,1,0,0.244,0.317,0.391,0.708,5,"9","R","L.Severino(37)","LAA","Away"
77,77,"Jun 23","@","BOS","L,4-9",36,35,4,10,5,1,0,3,1,0,11,0,0,0,0,1,0,0,0.245,0.317,0.392,0.709,5,"9","R","R.Porcello(50)","LAA","Away"
78,78,"Jun 24","@","BOS","W,6-3",39,35,6,9,4,0,0,5,2,0,8,1,0,1,1,0,3,1,0.245,0.317,0.392,0.709,6,"9","L","D.Price(54)","LAA","Away"
79,79,"Jun 25","@","BOS","W,4-2",37,34,4,10,1,0,0,4,3,0,7,0,0,0,0,1,1,1,0.246,0.317,0.391,0.708,6,"9","R","D.Fister(49)","LAA","Away"
80,80,"Jun 26","@","LAD","W,4-0",37,32,4,8,0,1,1,4,3,0,9,1,0,1,0,0,3,1,0.246,0.317,0.391,0.708,6,"13","L","R.Hill(62)","LAA","Away"
81,81,"Jun 27","@","LAD","L,0-4",31,31,0,5,1,0,0,0,0,0,7,0,0,0,0,0,0,1,0.245,0.316,0.389,0.705,4,"13","R","K.Maeda(75)","LAA","Away"
82,82,"Jun 28","","LAD","W,3-2",37,35,3,8,1,0,1,2,2,0,10,0,0,0,1,0,0,0,0.244,0.315,0.388,0.704,9,"10","L","H.Ryu(54)","LAA","Home"
